第1列,单词,释义
,immense,巨大的
,imminent,adj.即将发生的，临近的。IDF have traded airstrikes with Hamas as a ground invasion remains imminent.
,impending,"adj. 即将发生的，逼近的。v.迫近，坏事隐现。
impend v.迫近，坏事隐现。"
直觉,intuition,"n. 直觉力, （一种）直觉
tuition n.教学，指导；学费"
直觉,intuitive,adj.直觉的，易懂的，使用简便的
直觉,instinct,n. 本能，天性；直觉。gut feeling。
直觉,instinctive,本能的，直觉的，天生的
直觉,insinctual,本能的 = instinctive
直觉,gut-level,本能的，直觉层面
刺激,incentive,"n. 激励, 刺激, 鼓励  adj. 刺激性的 (Food is often used as an incentive in training pet dogs)"
刺激,stimulus,n.刺激物，促进因素，一般指具体的刺激物，而stimulation 可能是比较抽象的。
刺激,stimulate,"v. 刺激, 激励; 促使, 引起; 促进(身体或身体部位的)功能。The beautiful sceneries sometimes stimulate our inspiration 激发我们的灵感。
simulate vt. 模拟,假装,模仿"
刺激,stimulant,兴奋剂
刺激,stimulation,n.刺激，激励，兴奋(作用)
刺激,sitmulating,adj.使人兴奋的，饶有趣味的，增加活力的。v.促进，激发。This work is fulfilling and stimulating 充实又刺激。
刺激,simultaneous,adj.同时的
刺激,motion,n.v. 运动
刺激,motive,n. 动机，目的
刺激,motivate,vt. 刺激；使有动机；激发…的积极性。examinations do not motivate students to read extensively.  be self-motivated 自我激励。
刺激,motivation,n. 动力;动机;诱因
刺激,momentum,"n. 动力，推力，势头，动量，冲量。angular momentum 角动量。
monument 纪念碑"
刺激,provoke,"v. 激怒，挑衅，刺激，引起。this article was intended to provoke discussion。I was provoked 我被激怒了。
thought-provoking 发人沉思的"
刺激,stir,"v. 搅动，搅拌；煽动；（情感）萌动；挑起（麻烦）n. 搅动，搅拌；兴奋，骚动 (he stired his coffee)
Just stir the pile of linear algebras until the output looking right. 机器学习的真相。"
刺激,spur,n.刺激(物)，激励 vt.激励，鞭策，促进
刺激,initiative,n.主动的行动，倡议，主动性，进取心。adj.开始的，初步的。
刺激,show initiative,显示出主动性。
刺激,entice,v.诱使，引诱
居住，栖息,inhibit,"v. 抑制, 阻止, 阻碍, 使拘束 (instilling conservative values in the students can inhibit their personal development)
inhibitor n.抑制剂，抗化剂。rust inhibitor 防锈剂。"
居住，栖息,prohibit,v. 禁止，阻止 prohibit = ban = forbid
居住，栖息,inhabit,"v. 居住(在), 栖息(在), 占据, 充斥 (Monkeys have inhabited the island for over a hundred year)"
居住，栖息,inhabition,"n. 居住, 住所, 住处, 聚居地 = habitition"
居住，栖息,inhabitant,n. 居民 = habitant
居住，栖息,habitat,n.动植物的生活环境，栖息地。I enjoy seeing wild animals running free in their natural habitats.
居住，栖息,dwell,v.居住。Many city dwellers live in apartment buildings.
居住，栖息,harbor,"n.港，海港；避难所  v.庇护；窝藏；怀有；为……提供庇护；入港停泊；居住，生存
Steaming forests harboring rare creatures 云雾缭绕的森林中隐藏着各种珍禽异兽。"
无辜的,innocent,adj. 清白的；无辜的； 天真的，不谙世故的；无恶意的 (he was found innocent of any crime)
无辜的,nocent,有害的
抓住,clutch,n.紧紧抓住，掌握，控制，离合器。v.紧抓，急忙地抓，突然抢走。free yourself from their clutches.
抓住,take,最普通用词，不带感情色彩。指用手抓、取某东西或控制某物。
抓住,grasp,指紧紧抓住、抓牢。
抓住,grab,指粗暴而急迫的抓住。
抓住,grip,语气比grasp强，指用手的最大力量紧紧抓住。
抓住,clasp,指用手紧握或用臂紧抱。
抓住,clutch,强调匆忙、紧急地抓、抓紧。
抓住,snatch,指突然抢走，侧重动作更快或更具暴力性质。
抓住,seize,指突然抓住某物，强调突然的猛烈动作。
破旧的,shabby,adj.破旧的，破烂的；衣着破旧的，衣衫褴褛的；（行为）卑鄙的，不公正的；（质量）低劣的
痛苦，麻烦,woe,n.痛苦，悲伤，麻烦
隔绝,insulate,v. 使隔热；使隔音；使绝缘；使隔绝；使免受（不良影响）
隔绝,insulator,绝缘体
隔绝,insulating,绝缘的
隔绝,isolate,
,intelligence,n. 智力，情报
,intelligent,adj.  聪明的，有才智的
,intelligible,adj. 可理解的，清楚的，明白易懂的
,intellectual,adj.智力的，脑力的，理智的 n. 知识分子
,intend,v. 想要，打算，计划，企图 (be intended to 打算)
,intended,adj. 故意的
,intent,n.目的，意图；故意 adj.专注的，专心致志的；坚决的；急切的。Sometimes I would be reading the book so intently that I would just miss my stop 有时我看书太入迷了，以至于错过站。
,intention,n.意图，目的，打算；愈合；意念
,intentional,adj.故意的，蓄意的
,intensive,adj. 加强的，密集的，集中的。intensive training 集中训练， intensive reading 精读，knowledge-intensive 知识密集型
,intensity,"n.强烈，剧烈，强度。It is an intensity of affeciton and emotion, a rush."
,intensify,v.加剧，增强。intensify my desire to succeed.
,intense a.,"强烈的，紧张的；认真的；热情(切)的 (intense concentration 高度的专注力)
Every relationship starts out with this intense desire of spending time together. desire to spend time together (desire 一般加 to)"
,intension,n. 紧张；强度，烈度；加强，加剧
,tension,n. 紧张，焦虑；紧张关系，紧张局势；矛盾，冲突；（电线、绳子、肌肉等的）拉紧，绷紧；拉力，张力；（电影、书籍中的）紧张情绪，恐怖气氛；（编织的）针织密度；电压  v.使拉紧，使紧张
,tense,adj. v.
,incentive,"n. 激励, 刺激, 鼓励  adj. 刺激性的 (Food is often used as an incentive in training pet dogs)"
,knowingly,故意的，机警的。These companies knowingly operate at a financial loss
,contact,接触
,intact,adj. 完整无缺的；未被碰过的
,taction,n. 触摸，接触
,groom,v.培养，训练。给动物擦洗，理毛。n. 新郎，马夫，男仆。
,bridegroom,新郎，bride 新娘
,jostle,（在人群中）挤
,mingle,
,huddle,
,slouch,
,lamb,
,lame,
,lime,
,slot,n.机器或工具上的狭缝. v.把..放入狭长的开口中，把..纳入其中。投币口也用 slot，计算机主板上的各种插槽也是 slot。
,slit,n.裂缝，投币口。v.纵裂，撕裂。double-slit experiment 双缝干涉实验。
,lane,n. 小巷，小街；跑道；航道 （country lane 乡间小路) n. （larva的复数）幼虫，幼体
,alley,小巷
,lean,"n.v. 倚靠，倾向于。The man lean on a column of the bus station 倚靠在车站的柱子上。I lean towards the view that 我倾向于..观点。
adj. 瘦且健康的；不景气的，贫乏的；精简的。"
潜行,lurk,"v.潜伏。n.诡计，花招。on the lurk 暗中潜伏。lurk in 潜伏于。
lurker 潜伏者。"
潜行,creep,"n.v.蹑手蹑脚地走，爬，偷偷溜走。Gives me the creeps 表示“让我毛骨悚然”。如 This story gives me the creeps.
creepy 怪异的，令人毛骨悚然的"
潜行,loiter,v.闲荡，虚度。hang about 闲荡。
潜行,infiltrate,v.渗入，浸润。economic infiltration 经济渗透。
,gimmick,n.机关，花招，噱头。v.搞骗术。It is just an advertising gimmick. Hunger marketing gimmick 饥饿营销。moneymaking gimmick 赚钱的伎俩。
交通工具,lorry,卡车
,maritime maritime trade,海上贸易
,marsh,
,harsh,
草地,meadow,n. 草地，牧场
草地,lawn,多指公园、庭院中经常加以修剪的草坪。
草地,meadow,指为牲畜提供食用草，可以贮备干草的牧草地；也指野外的低草地。
草地,pasture,通常指放牧用的草地或牧草
,methane,
,militant,"adj.动武的, 好战的, 有战斗性的 n. 斗士"
,aggressive,
,military,
,mingle,v.（使）与…结合；使混合；使联结；相交往（混入人群）
,reunite,"v. （使）重逢, （使）再结合"
原子分子,atom,原子
原子分子,molecule,分子
原子分子,nucleus,原子核
原子分子,ion,离子
,notion,观点，想法，主张
,proposition,"n.主张，观点；（商业或政治的）提议，建议；法律修正案；欲做的事；（数学或逻辑）命题；v.向某人提议
a business proposition 一份商业建议。true proposition / inverse proposition 真命题 /反命题。value proposition 价值主张。
This generosity of spirit, this caring about others and about the proposition that we are created equal is the single most effective antidote to the self-centred moral numbness that allows fascism to thrive."
,myth,n.神话，虚构的人或事；荒诞的说法，错误的观点。That myth that you only use 10% of your brain.
,mythic,adj.神话的，虚构的
,mythology,n.神话；错误的信念；谬误
名声好/坏，有名的,notorious,指因劣迹而臭名昭著，含强烈贬义；但有时也作“众所周知的”解。
名声好/坏，有名的,famous,是普通用词，指传播很广，引起人们注意的人或事物。
名声好/坏，有名的,noted,多指因成绩卓著而备受注意的专家或权威及其著作，有时含贬义。
名声好/坏，有名的,prominent,指出人头地，为公众所熟悉，至少在地方上闻名。
名声好/坏，有名的,outstanding,侧重指因素质优良，功绩卓著而超过同类的人或物，强调“突出”。
名声好/坏，有名的,eminent,指在某方面杰出卓越或突出的人或物。= renowned.
名声好/坏，有名的,renowned,有名的，闻名的，受尊敬的。world renowned 举世闻名的。
名声好/坏，有名的,notable,用于指事件时，侧重其重要、值得注意；用于指人时，与famous同义，但语气较弱
名声好/坏，有名的,prestige,n.声望，威信  adj.受尊重的，令人敬仰的；贵重的，气派的
名声好/坏，有名的,A-lister,一线演员，一线明星
名声好/坏，有名的,infamous,adj.声名狼藉的；无耻的；邪恶的；不名誉的
象征，表示,signify,v.表示，说明，意味着，表达。She signified her disagreement.
象征，表示,denote,v.象征，预示，表示。
象征，表示,emblem,n.象征，标志。v.用图案表示
指定,designate,v.指定，选派，指明。adj 新指定的。be designated as 被指定为。= appoint
,deplete,"v.耗尽，使枯竭。= exhaust, comsume。deplete one's strength 竭尽全力。depleted uranium 贫铀"
,depletion,耗尽。energy depletion。depletion region PN结 PN junction 上的消耗层，跨界的移动造成了一个电场，阻止了继续移动。
,delete,"删除
replete 饱满的"
,obscure,"adj.无名的，鲜为人知的；难以理解的
untold adj. 数不清的，未说过的；未透露的，无限的。How many inventors and untold entrepreneurs live out this phenomenon. 在现实中印证了这一现象。（live out 过某种生活，有实践的意思）"
,obscurity,n.无名，默默无闻；费解，晦涩。in obscurity 默默无闻。
,obsess,使着迷
,obesity,肥胖
,obscene,adj. 淫秽的，暴力的；道德败坏的，令人厌恶的；（数量等）大得惊人的，骇人听闻的。Avoid making rude or obscene gestures in traffic.
理解,comprehend,v.理解，领悟；包括，包含
,derive,v.来自，起源。获得。派生。=to originate = obtain
,procure,v.获得，取得
,procurement,n.采购，取得
超过,outdo,
超过,excess,n.超过，过量；越轨行为，暴行；无节制 adj.过多的，超额的；额外的，附加的
超过,exceed,v.多于，大于，超过。travel in excess of 30 knots 以时速超过30节行驶。
超过,surpass,
超过,upward of,多于，超过。Hamas reportedly have upwards of 200 hostages held in Gaza.
超过,transcend,v.超出。
超过,outstrip,v.超过，胜出，比..跑得快。outstrip target 超额完成计划。
超过,outperform,"v.胜过，做得比..好。At the fifth grade level, girls routinely outperform boys in every subject."
超过,outlast,v.比……长久；从……中逃生
超过,overtake,v.追上， 赶上并超过（汽车或人）；（发展或增长）超越，超过；突然降临于，意外发生在；（情感等）压倒，使难以承受
超过,superority,n.优越，优势；优越感，骄傲自大
,transcend,超出
,ascend,上升，攀登
,descend,下降，屈尊
,descendant,子孙
,precede,领先
,precession,n.先行，优先，进动，旋进
刺，戳,stab,n.v. 戳，刺，捅；刺入，扎伤。stabbing pain 刺痛。
刺，戳,poke,n.v.戳，剌。比如手指戳某人的胸膛。Poked her head out of the window 把头伸出窗外。
刺，戳,spear,n.矛，标枪；嫩枝，幼芽。v.刺，叉。
刺，戳,dagger,匕首，短剑
刺，戳,penetrate,v.刺入，穿透；渗入。X-rays can penetrate many objects X射线能穿透很多物体。penetrate the shield 穿透盾牌。
动物,crest,n.山顶，浪峰，鸟冠，羽冠，饰章 v.到达山顶，达到顶点
动物,beak,n.鸟嘴，喙；鹰鈎鼻，尖鼻；
动物,reptile,爬行运行
动物,geese,鹅
,predatory,adj.（动物）捕食性的，食肉的；掠夺性的，弱肉强食的
叫声、喘息声,roar,n.v. 吼叫，咆哮，喝彩（动物或人）
叫声、喘息声,rip-roaring,adj.吵闹的；喧嚣的（比如酒吧）
叫声、喘息声,pant,n.v. 气喘，喘息（比如跑步时）
叫声、喘息声,moan,n.v. 呻吟，呜咽（比如打扑克时）
叫声、喘息声,groan,n.v.呻吟，喘息，咕哝；抱怨。
叫声、喘息声,chuckle,n.v. 轻笑，暗自笑
叫声、喘息声,snore,n.v.打鼾，鼾声
叫声、喘息声,whistle,n.v.哨子，口哨声，汽笛声，警笛声，呼啸声
叫声、喘息声,gasp,n.v.喘息，倒抽气
叫声、喘息声,snorted,v. 哼笑，嗤之以鼻；打鼾；吸入（毒品）
叫声、喘息声,bellow,v.人或动物的惨叫，公牛等的吼叫，对某人大声吼叫。n.吼叫声
叫声、喘息声,whoop,n.大叫，哮喘声；呐喊 v.高声说，唤起
部分的,particle,
部分的,partial,
走路，行走,pedestrian,
走路，行走,pavement,
走路，行走,bystander,n.旁观者。
走路，行走,roam,v.漫步，徜徉。He is free to roam our streets.
走路，行走,lope,大步慢跑
走路，行走,waddle,n.v.蹒跚行走，摇摆地走
走路，行走,stagger,v.摇摇晃晃地走，蹒跚；使震惊，使大吃一惊；使交错，使错开 n.踉跄，蹒跚；使（物体，物体的组成部分）交错排列；赛跑选手起跑时的梯形排列  adj.交错的，错开的
走路，行走,staggering,adj. 大得惊人的，令人吃惊的 v.摇摇晃晃地走，蹒跚；使震惊，使大吃一惊；使交错，使错开
香气,perfume,
香气,fragrance,
香气,scent,
香气,fragrant,"芳香的，愉快的
fragile 易碎的
fraction n.分数，小数，小部分
friction n.摩擦"
改正,amend,v.修改，修订，纠正。amendment 修正案。make amend for 为..赔偿。书面用词，指进行更正或改变，使之更好，符合更高的要求。
改正,revise,n.v.修订，校订，改变，修正。
改正,rectify,v.纠正，矫正，整流，蒸馏。rectified spirit 蒸馏酒精。
改正,remedy,n.解决方法，纠正方法，治疗方法，药品。v.补救，纠正，治疗。通常指在局部范围内进行纠正，尤指对困难问题的解决。
繁荣,prosper,v. 繁荣
繁荣,prosperity,n.繁荣
繁荣,prosperous,"adj. 繁荣的, 成功的, 兴旺的 (prosperous future 前程似锦)"
繁荣,boom,n.v. 激增，繁荣，兴旺
繁荣,booming,adj. 发展迅速的；激增的；繁荣的 (booming economy)
繁荣,thrive,"v. 兴旺发达, 繁荣; 旺盛; 茁壮生长, 茂盛生长 (New companies thrive in this area)"
繁荣,exuberant,繁茂的，丰富的
繁荣,fertile,肥沃的，能繁殖的
繁荣,flourish,v.繁荣，茂盛。n.夸张动作，华丽词藻，修饰。
繁荣,opulence,富裕、丰富
繁荣,luxuriant,繁茂的，丰富的
繁荣,abundance,n.大量，丰富，繁荣，富裕。丰度。
,prospect,可能性，希望，预期，展望，前景。
,linger,v.继续存留，缓慢消失；流连，逗留，徘徊；苟延残喘；Some design flaws continue to linger in the new system.
,gesture,
,posture,
,predecessor,n.前任，前辈，前身
,precedent,n.先例，前例；判例，实例；常规，惯例 adj.在先的，前面的
,precedence,n.领先，优先权；take precedence over..
,unprecedent,空前绝后的
,unprecedented,前所未有的（兵力、时代等）。In the midst of these unprecedented and crazy times
,refreshment,n. 饮料，小食；恢复活力，焕发精神 (They came into the room for some refreshment 进屋吃点东西)
,munchies,n.小点心，零嘴。= snacks
,beverage,饮料
撤退，停火,retreat,v. 撤退，后退，退缩；让步 n. 撤退；让步；隐居地；静养所
撤退，停火,withdraw,
撤退，停火,drawback,n. 缺点，弱点；不利条件
撤退，停火,cease,v. 停止，终止
撤退，停火,ceasefire,n. （通常指永久性的）停火
撤退，停火,retreat,撤退
撤退，停火,evacuation,"n.撤离，疏散；(粪便等的)排空，清除。air evacuation valve 放气阀。
U.S military personnel are stationed nearby in case an evacuation or emergency extraction becomes necessary."
怨恨,resent,"v. 愤恨，憎恶，怨恨 (i deeply resent her criticism)
regent 摄政王"
怨恨,resentment,n.怨恨，愤恨
怨恨,spite,
,respite,n.喘息，暂停。v.缓刑，缓和。get a brief respite from my whirlwind life as a IELTS instructor.
,refrain,v.克制，避免。We will never refrain from resorting to force 我们决不承诺放弃使用武力。
,resort,"v. 诉诸; 求助; 凭借; 前往; 常去。n. 旅游胜地; 度假胜地; 常去之地; 诉诸, 采取; 求助对象; 采用的手段"
,tip,n.诀窍，小费。v. 使倾斜，倾倒。tip the balance between...
,rip,"n.裂口，v.使撕裂，训斥。Social media is ""ripping apart"" society."
,sip,n.v. 啜饮
,dip,n.v.浸，蘸，调味酱。
,doped,adj.掺杂的，掺杂过的。比如把其它材料掺杂到硅里造成P型和N型半导体。
,tap,"v.轻拍，轻敲；敲出节奏；旋开(桶等)放出液体；窃听；开发，利用； n.水龙头；轻拍(声)；窃听(器)；
tap into 开发，利用。非接触式支付也用 tap：- Can I tap now? - Yes, go ahead."
,ripe,adj. （果实等）成熟的；（条件、时机等）成熟的；味道刺鼻的 (This land is ripe for development. 这片土地可以开发了。)
,mature,adj.成熟的，理智的；成年的；技艺精湛的；深思熟虑的；v.使成熟；变理智；酿成，制成。
,maternity,n.母性，母亲身份，妇产科；adj.怀孕的，产妇的
,rip,v.(使）撕裂，（使）划破。n.裂缝，裂口。
,ripped,v.撕，扯，剥。adj.喝醉的，撕碎的，有明显肌肉线条的。
,ripple,n.涟漪，象波纹的东西；(声音的)传播起伏，(感情的)逐渐扩散；连锁反应；v.如波浪般起伏；情绪波动，声音荡漾。
,rape,n.v.强奸(罪、案），(对土地等的)破坏、掠夺。
食品,sausage,n. 香肠
食品,roast,n. 烤肉，烘烤 v.烘烤 adj.烘烤的，烤过的
食品,bacon,咸肉，腌肉，熏猪肉
食品,vinegar,醋
食品,soy sauce,酱油
食品,sauce,调味汁
食品,ketchup,番茄酱
食品,gravy,肉汁，肉卤。in the gracy: 发横财的，很有钱的。
食品,gravy boat,调味汁瓶；酱油壶；船形调味肉汁盘
食品,mushroom,蘑菇
食品,cereal,谷类食物，谷物
食品,starch,淀粉，给..上浆
食品,liquor,酒，烈性酒。区别于wine 和 beer
,scandal,n. 丑闻；丑行；关于丑行的传言
,squash,
,scrape,n 刮刀，铲土机，守财奴；v.刮，擦，削去。skyscraper 摩天大楼。scraper conveyor 刮板输送机。
,scrap,n.碎片，小块。v.放弃，抛弃。
,secret,n.秘密. adj. 秘密的。a secret plan.
,secrecy,n.秘密，保密。secrecy is key
,secretive,"adj.形容某人或某事倾向于保密，隐瞒自己的想法、计划或信息（形容性格或行为，而不是秘密本身）.
Be secretive about something（对某事守口如瓶）。They acted in a secretive manner.（他们的行为很隐秘。）
如果要说某件事很隐密，要说 secure。如 keep his travel plans low key and secure."
,secrete,"v. 分泌, 隐藏 (secrete a deadly poison)"
污秽,excrete,排泄物
污秽,exhale,呼气，inhale 吸气。
污秽,feces,粪便
污秽,sewage,"n.污水，污物。v.用污水灌溉，装设下水道。
savage 野人，凶残的"
污秽,cesspool,粪坑，污水坑，污秽场所。cess可以认为与mess类似。
污秽,cesspit,化粪池，污水坑
,seminar,"n. 研讨会, （大学教师带领学生作专题讨论的）研讨课, 培训会
webinar 网络研讨会，在线会议"
,seminate,v. 〔农〕播种。adj. (种子的) 散布，散播。
,semester,学期
,summit,山顶，顶点，峰会
播种，生根，抚养，滋养,seminate,v. 播种
播种，生根，抚养，滋养,disseminate,v. 散播，公开宣传（知识、信息等）。to disseminate seeds 播种。
播种，生根，抚养，滋养,dissemination,散布，传播
播种，生根，抚养，滋养,cultivate,v.耕作，种植，培养，建立，加强（关系）
播种，生根，抚养，滋养,sow,播种、播散（如仇恨）sow seeds of doubt about everyone
播种，生根，抚养，滋养,ceremony,典礼
播种，生根，抚养，滋养,groom,v.培养，训练，给动物理毛. n.新娘，马夫，男仆。
播种，生根，抚养，滋养,propagenda,n. (政治)宣传，鼓吹。
播种，生根，抚养，滋养,propagate,v.繁殖，传播，宣传。
播种，生根，抚养，滋养,radicate,vt.使生根，确立
播种，生根，抚养，滋养,foster,"v.促进，培养，抚育，收养。Sharia opposes religious freedom, fosters bigotry, discrimination, sexism, and condones slavery."
播种，生根，抚养，滋养,nourish,"v.抚养，滋养，培养。nourish the dream of 怀有..的梦想。
cherish 珍爱。furnish布置，提供。"
播种，生根，抚养，滋养,norrishment,n.食物，营养品。
播种，生根，抚养，滋养,nutrition,n.营养
播种，生根，抚养，滋养,nurture,n.v.培养，养育，教养。
播种，生根，抚养，滋养,sprout,v.发芽，抽条；毛发等生长，涌现。n.苗，新芽，豆芽。
生育,procreate,v.生育，生殖。procreate right 生育权。
生育,procreation,n.生殖，生产。
生育,fertile,adj. 肥沃的；富饶的；能生育的；可繁殖的
生育,fertility,"n.肥沃，富饶，生育能力。
futile adj. 徒然的, 徒劳的, 无效的。
No just cause is futile, even if it's lost. 正义的事业不会是徒劳的，即使失败也没关系。"
生育,reproductive system,生殖系统。
土地,arable,n.耕地。adj 可耕的，耕作的。
,sensory,"adj. 感觉的, 感官的 n. 感觉器官"
,spiritual,精神的 (experience)
,sensible,"adj. 明智的，理智的；合理的；可以感觉到的。i am sensible of my shortcoming and always try to overcome it.
(he is a sensible sort of person 通情达理的人)"
,sensation,"n. 感觉，知觉；感觉能力，知觉能力；轰动，哗然，引起轰动的人或事
(i had a sensation of falling as if in a dream) online sensation 网络红人"
,unconcerned,adj. 不关心的；不烦恼的
,shaft,"n. 轴(如电机的轴），杆；井状通道，井穴；一束（光）；挖苦，尖酸的话 v. 蒙骗，欺骗 (elevator shaft 电梯井)。
a gearbox between the turbine rotor shaft and the generator shaft 风电叶片轴与发电机轴之间的齿轮箱。
crankshaft 曲轴。"
,rotor,转子，旋翼
,shard,n. （玻璃、金属等的）碎片 (Shards of ancient pottery)
,sheer,adj. 纯粹的，完全的；几乎垂直的，陡峭的 v. 突然变向 (sheer away from sth. 避开)。the sheer volumn of construction
,bare,adj.赤裸的，光秃秃的，勉强的，刚刚够的，仅有的。v.揭开，使露出，脱掉。It is the bare minimum 这是最低限度。
,steep,"adj. 险峻的，陡峭的；急剧的，大幅度的；昂贵的 n. 峭壁 v. 浸泡，浸透。
The new role has been a steep learning curve to me, but I am gaining valuable experience every day.
(a steep hill/bank 陡峭的山坡/河岸)"
匆忙，赶快,haste,n.v.急速，匆忙，赶快。Walking in a haste 匆匆行走。
匆忙，赶快,hasten,v.催促，赶快。
匆忙，赶快,hasty,adj.轻率的，匆忙的。
匆忙，赶快,hastily,"adv.轻率地，急速地。hast可看做fast。to prepare hastily for an examination 考前突击。
hustle 推挤"
匆忙，赶快,hassle,n.麻烦，困难。v.打扰。
,stiff,
,sift,
,skim,
,slat,n. 板条，窄条
,splint,夹板
,slouch,v. 懒散地坐（站、走）；低垂 (Jimmy slouched in the corner of his room.)
,huddle,
,soak,"v. 浸泡, 浸湿, 浸透, 湿透"
,n.,"浸泡, 浸渍, 湿透, 洗澡
(the rain soaked the curtain. sweat-soaked 汗湿的 )"
,souvenir,n. 纪念品 (souvenir shop 纪念品商店；旅游纪念品商店)
,memento,n.纪念品
,surveillance,n. 监视 (surveillance camera 监控摄像)
,surveil,vt. 使受监视；对…实施监视
,spice,
,species,
,specimen,
,spectator,n. （体育比赛的）观众 = audience
,spectacle,n. 精彩表演; 壮观景象; 出人意料的情况; (复数)眼镜
,spectrum,n. 光谱，声谱，频谱；范围，幅度；系列，层次
,speciality,n. 专业，专长；特色食品，特产 (a local specialty 土特产)
,specialty,n.专业，专长，特色食品，特产，专卖店
,specious,"adj. 似是而非的, 貌似有理的 (specious arguments 似是而非的论点）"
,spacious,宽敞的
,presume,假定，推测
,assume,v. （无证据的）假设，假定; 臆断；认为；呈现；具有（特定的性质、外表或程度）；承担（责任）；采取；就（职）.The vice president will assume the powers when the president dies.
,assumption,n. 假定，设想；担任（职责等） ；装出；假装
,hypothesis,"n. 假设, 假说; (凭空的)猜测"
,hypothetical,"adj. (基于)假设的，假定的。n.假设命题。But for now, universal basic income remains largely hypothetical. 就目前而言，普遍基本收入在很大程度上仍然是假设性的。"
,speculate,v. 推测，猜测；投机 (speculate on /about /upon 考虑，推测。speculate in gold/stock 投机黄金)
,speculation,n.猜测，投机
,speculative,adj.推测的；投机的。It sounds very futuristic and speculative 这听起来非常具有未来感和不确定性。
,conject,v.推测，计划，策划。
,conjecture,n.臆测，猜测. v.猜测，推测。
,guesstimate,n.v. 瞎猜，估计
,splint,n. （固定断肢的）夹板 v. 用夹板夹
,stage,"n. 阶段, 步, 步骤, 舞台, 驿站 v. 举行, 上演, 举办, 组织 (in early stage 在早期)"
,stall,"n. 摊位；牲畜棚；马厩；停车场的停车位 v. 车辆停顿；抛锚；熄火；故意拖延；拖住(以赢得时间做某事）
(the car stalled and refused to start again. market stall 货摊，newspaper stall 报摊。)"
,stalling,v.使熄火；失速；停止发展，暂缓
,starchy,adj. 含淀粉的；古板的，拘谨的 (starchy principles 刻板的规定)
,starch,n. 淀粉 vt. 给...上浆
,stationary,"adj. 不动的, 静止的, 固定的, 不可移动的 n. 驻军, 不动的人(a stationary vehicle 静止的车辆)"
,stationery,n. 文具；信笺；信纸
,stable,指人沉稳的，或事物发展稳定的；而stationary是指静止的
,status,状态，身份
,stature,"n. 身高, 个子, 声望, 名望  (reputation 名望）"
,statue,"n. 雕像, 塑像, 铸像"
,portrait,肖像
,gesture,手势
,stout,胖的
,obesity,肥胖
捆绑，系,tether,n.系链，拴绳。v.用绳或链拴住。tethering you more tightly to them.
捆绑，系,untethered,adj 不被绳索束缚的。Untethered Jailbreak 完美越狱。untethered dive 自由下潜（自由潜水是 free diving)
捆绑，系,lash,n.鞭打；睫毛；鞭子；责骂；讽刺。v.鞭打；摆动；扎捆；冲击；煽动。背包上拴绳子的地方叫 lash tab
捆绑，系,leash,n.v.皮带，用皮带系住（如宠物等）
捆绑，系,strip,v.除去，撕掉；夺去，剥夺；脱衣服；拆卸（机器零件）。n.条，带，带状地带。Mobius strip 莫比乌斯环。Gaza Strip 加沙地带。landing stirp 飞机跑道。strip our nation of wealth 剥夺我们国家的财富
捆绑，系,strap,"v.用带子束住，捆绑；用绷带包扎；用皮鞭抽打。n. 带子，皮带；铁皮条，金属带；鞭打；拉手吊环。watch strap 表带。
They were strapped to sweat and heat monitors。直升机肚子下面用来挂吊索的吊环也叫 strap。"
捆绑，系,stitch,n.针脚。v.缝，缝合 = sew
,straw,n. 稻草；吸管。The last straw 最后一根稻草。
,napkin,纸巾，餐巾纸
,stem,n. 茎，干，梗；词干；血统 v. 堵住；阻止；起源于，发生 (stem from 起源于)。stem cell 干细胞
,stalk,n. 茎，秆。v.跟踪，盯梢。Researchers stalk blissed couple 研究者跟踪调查美满的婚姻。
,emerge,v.浮现，出现，显露，形成。
,emergence,n.出现，显现，崭露头角。涌现
,emergent,adj.新兴的
,emergency,n.突发事件，紧急状况。
,submerge,v.潜入水中，浸没，掩盖，沉浸于
时间，顺序,subsequent,adj. (时间上) 随后的，后来的 (Subsequent events confirmed our doubts.)
时间，顺序,subsequenece,n.后继，随后
时间，顺序,consequent,"(逻辑上) 之后的；因此而发生的。如 consequent loss, consequent adjustment"
时间，顺序,prolong,v.拖长，拉长(感觉或活动）
时间，顺序,prolonged,"adj.长期的，持续很久的，延长的；v.拉长，拖长。Prolonged pregnancy 过期妊娠。
She left the stage to prolonged applause 在经久不息的掌声中退下了舞台。"
时间，顺序,epoch,n.时代，纪元，(地质的)世。an epoch-making declaration 一个划时代的宣言。
,subsidiary,adj. 辅助的；次要的；附属的；隶属的 n. 附属公司；子公司
,subsidy,津贴
,subsidise,"vt. 资助, 补助, 给…发津贴,（等于subsidize）"
,branch,分公司
,auxiliary,adj.辅助的，补充的，备用的。auxiliary equipment 辅助设备，附属设备。auxiliary verb 助动词。auxiliary power unit 辅助动力单元APU。
,substance,"n.物质，材料；主要内容；重要性；真实性；可信性；毒品；财富；实质。Your answer should have more substance and less fluff.
fluff n.绒毛，无价值的东西。v.念错，起毛(毛衣等)。
substance abuse 物质滥用：指对药物、酒精或其他有害物质的过度或不当使用，可能导致身体、心理或社会问题。"
,substitute,v. 用……代替，代以  n. 代替者，代替物。The left substitutes weak and strong for good and evil。左派用弱小和强大代替善良和邪恶。There is no substitute for sb/sth 某人/某事是无法替代的。=irreplaceable。
